ProbeID	PrimaryAccession	RefSeqAccession	GenbankAccession	UniGeneID	EntrezGeneID	GeneSymbol	GeneName	EnsemblID	TIGRID	GO	Description	GenomicCoordinates	Cytoband
A_23_P11160	ENST00000370660	XM_932166	AK022711	Hs.446275				ENST00000370660	THC2474253		Novel protein. [Source:Uniprot/SPTREMBL;Acc:Q5JXI6] [ENST00000370660]	chrX:135127342-135127283	hs|Xq26.3
A_23_P111604	NM_152745	NM_152745	NM_152745	Hs.487564	30010	NXPH1	neurexophilin 1		THC2473939	GO:0005102(receptor binding)|GO:0005615(extracellular space)	"Homo sapiens neurexophilin 1 (NXPH1), mRNA [NM_152745]"	chr7:8758625-8758684	hs|7p21.3
A_23_P111621	NM_005685	NM_005685	NM_005685	Hs.647056	9569	GTF2IRD1	GTF2I repeat domain containing 1	ENST00000265755	THC2463573	"GO:0003705(RNA polymerase II transcription factor activity, enhancer binding)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0007275(multicellular organismal development)"	"Homo sapiens GTF2I repeat domain containing 1 (GTF2IRD1), transcript variant 2, mRNA [NM_005685]"	chr7:73654767-73654826	hs|7q11.23
A_23_P111635	NM_016086	NM_016086	NM_016086	Hs.11615	51657	STYXL1	serine/threonine/tyrosine interacting-like 1	ENST00000248600	THC2611313	GO:0006470(protein amino acid dephosphorylation)|GO:0007242(intracellular signaling cascade)|GO:0008138(protein tyrosine/serine/threonine phosphatase activity)|GO:0016787(hydrolase activity)	"Homo sapiens serine/threonine/tyrosine interacting-like 1 (STYXL1), mRNA [NM_016086]"	chr7:75489146-75481124	hs|7q11.23
A_23_P111657	NM_000193	NM_000193	NM_000193	Hs.164537	6469	SHH	sonic hedgehog homolog (Drosophila)	ENST00000297261	THC2483743	GO:0001569(patterning of blood vessels)|GO:0001570(vasculogenesis)|GO:0001656(metanephros development)|GO:0001658(ureteric bud branching)|GO:0001708(cell fate specification)|GO:0001747(eye development (sensu the Mammalia research community))|GO:0001755(neural crest cell migration)|GO:0005515(protein binding)|GO:0005615(extracellular space)|GO:0007165(signal transduction)|GO:0007224(smoothened signaling pathway)|GO:0007267(cell-cell signaling)|GO:0007405(neuroblast proliferation)|GO:0007411(axon guidance)|GO:0007418(ventral midline development)|GO:0007435(salivary gland morphogenesis)|GO:0007500(mesodermal cell fate determination)|GO:0007507(heart development)|GO:0008209(androgen metabolic process)|GO:0008233(peptidase activity)|GO:0008284(positive regulation of cell proliferation)|GO:0009790(embryonic development)|GO:0009953(dorsal/ventral pattern formation)|GO:0009986(cell surface)|GO:0016020(membrane)|GO:0016539(intein-mediated protein splicing)|GO:0030162(regulation of proteolysis)|GO:0030324(lung development)|GO:0030336(negative regulation of cell migration)|GO:0030539(male genitalia development)|GO:0030850(prostate gland development)|GO:0030900(forebrain development)|GO:0030901(midbrain development)|GO:0030902(hindbrain development)|GO:0042733(embryonic digit morphogenesis)|GO:0043237(laminin-1 binding)|GO:0045121(lipid raft)|GO:0045596(negative regulation of cell differentiation)|GO:0048468(cell development)|GO:0048663(neuron fate commitment)	"Homo sapiens sonic hedgehog homolog (Drosophila) (SHH), mRNA [NM_000193]"	chr7:155288721-155288662	hs|7q36.3
A_23_P111662	NM_178559	NM_178559	NM_178559	Hs.404102	340273	ABCB5	"ATP-binding cassette, sub-family B (MDR/TAP), member 5"	ENST00000258738	THC2481622	"GO:0000166(nucleotide binding)|GO:0005524(ATP binding)|GO:0006810(transport)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016887(ATPase activity)|GO:0042626(ATPase activity, coupled to transmembrane movement of substances)"	"Homo sapiens ATP-binding cassette, sub-family B (MDR/TAP), member 5 (ABCB5), mRNA [NM_178559]"	chr7:20761667-20761726	hs|7p15.3
A_23_P111672	NM_152829	NM_152829	NM_152829	Hs.592286	26136	TES	testis derived transcript (3 LIM domains)	ENST00000257721	THC2466351	GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)	"Homo sapiens testis derived transcript (3 LIM domains) (TES), transcript variant 2, mRNA [NM_152829]"	chr7:115685364-115685423	hs|7q31.2
A_23_P111698	NM_002360	NM_002360	NM_002360	Hs.520612	7975	MAFK	v-maf musculoaponeurotic fibrosarcoma oncogene homolog K (avian)	ENST00000343242	THC2479589	"GO:0000785(chromatin)|GO:0003700(transcription factor activity)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0043565(sequence-specific DNA binding)|GO:0046983(protein dimerization activity)"	"Homo sapiens v-maf musculoaponeurotic fibrosarcoma oncogene homolog K (avian) (MAFK), mRNA [NM_002360]"	chr7:1546815-1546874	hs|7p22.3
A_23_P1117	NM_017744	NM_017744	NM_017744	Hs.201921	54879	ST7L	suppression of tumorigenicity 7 like	ENST00000361846	THC2483193		"Homo sapiens suppression of tumorigenicity 7 like (ST7L), transcript variant 1, mRNA [NM_017744]"	chr1:112869126-112869067	hs|1p13.2
A_23_P111701	NM_004126	NM_004126	NM_004126	Hs.83381	2791	GNG11	"guanine nucleotide binding protein (G protein), gamma 11"	ENST00000248564	THC2462830	GO:0003924(GTPase activity)|GO:0004871(signal transducer activity)|GO:0005834(heterotrimeric G-protein complex)|GO:0007165(signal transduction)|GO:0007186(G-protein coupled receptor protein signaling pathway)|GO:0016020(membrane)	"Homo sapiens guanine nucleotide binding protein (G protein), gamma 11 (GNG11), mRNA [NM_004126]"	chr7:93393700-93393759	hs|7q21.3
A_23_P111712	NM_006980	NM_006980	NM_006980	Hs.532216	7978	MTERF	mitochondrial transcription termination factor	ENST00000351870	THC2714958	"GO:0003677(DNA binding)|GO:0003690(double-stranded DNA binding)|GO:0003715(transcription termination factor activity)|GO:0005739(mitochondrion)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0006393(RNA transcription termination from mitochondrial promoter)"	"Homo sapiens mitochondrial transcription termination factor (MTERF), nuclear gene encoding mitochondrial protein, mRNA [NM_006980]"	chr7:91340721-91340662	hs|7q21.2
A_23_P111724	NM_138290	NM_138290	NM_138290	Hs.411488	154661	RPIB9	Rap2-binding protein 9	ENST00000338056	THC2475427		"Homo sapiens Rap2-binding protein 9 (RPIB9), mRNA [NM_138290]"	chr7:87297357-87297416	hs|7q21.12
A_23_P111737	NM_005856	NM_005856	NM_005856	Hs.25691	10268	RAMP3	receptor (G protein-coupled) activity modifying protein 3	ENST00000242249	THC2627870	"GO:0004872(receptor activity)|GO:0005615(extracellular space)|GO:0005764(lysosome)|GO:0005886(plasma membrane)|GO:0005887(integral to plasma membrane)|GO:0006886(intracellular protein transport)|GO:0006898(receptor-mediated endocytosis)|GO:0008277(regulation of G-protein coupled receptor protein signaling pathway)|GO:0008565(protein transporter activity)|GO:0015027(coreceptor, soluble ligand activity)"	"Homo sapiens receptor (G protein-coupled) activity modifying protein 3 (RAMP3), mRNA [NM_005856]"	chr7:45189713-45189772	hs|7p13
A_23_P111745	NM_031449	NM_031449	NM_031449	Hs.77978	83637	ZMIZ2	"zinc finger, MIZ-type containing 2"	ENST00000309315	NP1148277	GO:0005634(nucleus)|GO:0008270(zinc ion binding)|GO:0030246(carbohydrate binding)|GO:0046872(metal ion binding)	"Homo sapiens zinc finger, MIZ-type containing 2 (ZMIZ2), transcript variant 1, mRNA [NM_031449]"	chr7:44774550-44774609	hs|7p13
A_23_P111753	NM_031903	NM_031903	NM_031903	Hs.50252	64983	MRPL32	mitochondrial ribosomal protein L32	ENST00000223324	THC2498310	GO:0003735(structural constituent of ribosome)|GO:0005739(mitochondrion)|GO:0005743(mitochondrial inner membrane)|GO:0005761(mitochondrial ribosome)|GO:0006412(translation)|GO:0006626(protein targeting to mitochondrion)|GO:0030529(ribonucleoprotein complex)|GO:0045182(translation regulator activity)	"Homo sapiens mitochondrial ribosomal protein L32 (MRPL32), nuclear gene encoding mitochondrial protein, mRNA [NM_031903]"	chr7:42943653-42943712	hs|7p14.1
A_23_P111766	A_23_P111766											chr7:142140427-142140485	hs|7q34
A_23_P111797	AL136837		AL136837	Hs.588334	84214	DKFZp434F142	hypothetical protein DKFZp434F142	ENST00000304917	THC2484192		Homo sapiens mRNA; cDNA DKFZp434F142 (from clone DKFZp434F142). [AL136837]	chr7:64944014-64944073	hs|7q11.21
A_23_P111804	NM_022750	NM_022750	NM_022750	Hs.12646	64761	PARP12	"poly (ADP-ribose) polymerase family, member 12"	ENST00000263549	THC2462153	GO:0003676(nucleic acid binding)|GO:0003950(NAD+ ADP-ribosyltransferase activity)|GO:0005634(nucleus)|GO:0006471(protein amino acid ADP-ribosylation)|GO:0008270(zinc ion binding)|GO:0016740(transferase activity)|GO:0046872(metal ion binding)	"Homo sapiens poly (ADP-ribose) polymerase family, member 12 (PARP12), mRNA [NM_022750]"	chr7:139370474-139370415	hs|7q34
A_23_P111811	NM_019071	NM_019071	NM_019071	Hs.489811	54556	ING3	"inhibitor of growth family, member 3"	ENST00000315870	THC2463778	"GO:0001558(regulation of cell growth)|GO:0003677(DNA binding)|GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)|GO:0016568(chromatin modification)|GO:0046872(metal ion binding)"	"Homo sapiens inhibitor of growth family, member 3 (ING3), transcript variant 1, mRNA [NM_019071]"	chr7:120402497-120402556	hs|7q31.31
A_23_P111826	NM_153189	NM_153189	NM_153189	Hs.121494	6677	SPAM1	"sperm adhesion molecule 1 (PH-20 hyaluronidase, zona pellucida binding)"	ENST00000340011	NP091425	"GO:0003824(catalytic activity)|GO:0004415(hyalurononglucosaminidase activity)|GO:0005515(protein binding)|GO:0005886(plasma membrane)|GO:0005975(carbohydrate metabolic process)|GO:0007155(cell adhesion)|GO:0007339(binding of sperm to zona pellucida)|GO:0007342(fusion of sperm to egg plasma membrane)|GO:0008152(metabolic process)|GO:0016798(hydrolase activity, acting on glycosyl bonds)|GO:0048503(GPI anchor binding)"	"Homo sapiens sperm adhesion molecule 1 (PH-20 hyaluronidase, zona pellucida binding) (SPAM1), transcript variant 2, mRNA [NM_153189]"	chr7:123386961-123387020	hs|7q31.32
A_23_P111835	NM_000108	NM_000108	NM_000108	Hs.131711	1738	DLD	dihydrolipoamide dehydrogenase	ENST00000205402	THC2469812	GO:0004148(dihydrolipoyl dehydrogenase activity)|GO:0005737(cytoplasm)|GO:0005739(mitochondrion)|GO:0006118(electron transport)|GO:0015036(disulfide oxidoreductase activity)|GO:0045454(cell redox homeostasis)|GO:0050660(FAD binding)	"Homo sapiens dihydrolipoamide dehydrogenase (DLD), mRNA [NM_000108]"	chr7:107347275-107347334	hs|7q31.1
A_23_P111843	NM_006349	NM_006349	NM_006349	Hs.211079	10467	ZNHIT1	"zinc finger, HIT type 1"	ENST00000305105	THC2492130	GO:0005515(protein binding)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)	"Homo sapiens zinc finger, HIT type 1 (ZNHIT1), mRNA [NM_006349]"	chr7:100654059-100654118	hs|7q22.1
A_23_P111860	NM_018059	NM_018059	NM_018059	Hs.487409	55698	FLJ10324	hypothetical protein FLJ10324	ENST00000316919	THC2474122	GO:0003774(motor activity)|GO:0005515(protein binding)|GO:0007165(signal transduction)|GO:0007218(neuropeptide signaling pathway)|GO:0016459(myosin complex)	"Homo sapiens hypothetical protein FLJ10324 (FLJ10324), mRNA [NM_018059]"	chr7:4805375-4805316	hs|7p22.1
A_23_P111865	NM_145914	NM_145914	NM_145914	Hs.632294	7589	ZSCAN21	zinc finger and SCAN domain containing 21	ENST00000292450	NP1276405	"GO:0003676(nucleic acid binding)|GO:0003700(transcription factor activity)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)|GO:0016563(transcriptional activator activity)|GO:0046872(metal ion binding)"	"Homo sapiens zinc finger and SCAN domain containing 21 (ZSCAN21), mRNA [NM_145914]"	chr7:99499787-99499846	hs|7q22.1
A_23_P111888	NM_138455	NM_138455	NM_138455	Hs.405614	115908	CTHRC1	collagen triple helix repeat containing 1	ENST00000330295	NP1157757	GO:0005198(structural molecule activity)|GO:0005578(extracellular matrix (sensu the Metazoa research community))|GO:0005737(cytoplasm)|GO:0006817(phosphate transport)	"Homo sapiens collagen triple helix repeat containing 1 (CTHRC1), mRNA [NM_138455]"	chr8:104459444-104459503	hs|8q22.3
A_23_P111919	NM_013357	NM_013357	NM_013357	Hs.373778	29942	PURG	purine-rich element binding protein G		THC2486888	GO:0003677(DNA binding)|GO:0005634(nucleus)	"Homo sapiens purine-rich element binding protein G (PURG), transcript variant A, mRNA [NM_013357]"	chr8:31008568-31008509	hs|8p12
A_23_P11192	NM_006357	NM_006357	NM_006357	Hs.470804	10477	UBE2E3	"ubiquitin-conjugating enzyme E2E 3 (UBC4/5 homolog, yeast)"	ENST00000305934	THC2469081	GO:0001558(regulation of cell growth)|GO:0004842(ubiquitin-protein ligase activity)|GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0006512(ubiquitin cycle)|GO:0016874(ligase activity)	"Homo sapiens ubiquitin-conjugating enzyme E2E 3 (UBC4/5 homolog, yeast) (UBE2E3), transcript variant 1, mRNA [NM_006357]"	chr2:181636288-181636347	hs|2q31.3
A_23_P111929	NM_016023	NM_016023	NM_016023	Hs.30532	51633	OTUD6B	OTU domain containing 6B	ENST00000285420	THC2621961		"Homo sapiens OTU domain containing 6B (OTUD6B), mRNA [NM_016023]"	chr8:92159866-92159925	hs|8q21.3
A_23_P111947	NM_004063	NM_004063	NM_004063	Hs.591853	1015	CDH17	"cadherin 17, LI cadherin (liver-intestine)"	ENST00000027335	THC2463824	GO:0005215(transporter activity)|GO:0005427(proton-dependent oligopeptide transporter activity)|GO:0005509(calcium ion binding)|GO:0005515(protein binding)|GO:0005624(membrane fraction)|GO:0005887(integral to plasma membrane)|GO:0006810(transport)|GO:0006857(oligopeptide transport)|GO:0007155(cell adhesion)|GO:0007156(homophilic cell adhesion)|GO:0016020(membrane)|GO:0016339(calcium-dependent cell-cell adhesion)	"Homo sapiens cadherin 17, LI cadherin (liver-intestine) (CDH17), mRNA [NM_004063]"	chr8:95209693-95209634	hs|8q22.1
A_23_P111961	NM_032509	NM_032509	NM_032509	Hs.583805	84549	RBM13	RNA binding motif protein 13	ENST00000360128	THC2461211	GO:0005634(nucleus)	"Homo sapiens RNA binding motif protein 13 (RBM13), mRNA [NM_032509]"	chr8:33477917-33477976	hs|8p12
A_23_P111978	NM_016601	NM_016601	NM_016601	Hs.493037	51305	KCNK9	"potassium channel, subfamily K, member 9"	ENST00000303015	THC2604653	GO:0005244(voltage-gated ion channel activity)|GO:0005267(potassium channel activity)|GO:0005624(membrane fraction)|GO:0006811(ion transport)|GO:0006813(potassium ion transport)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0030955(potassium ion binding)	"Homo sapiens potassium channel, subfamily K, member 9 (KCNK9), mRNA [NM_016601]"	chr8:140700361-140700302	hs|8q24.3
A_23_P111981	NM_177457	NM_177457	NM_177457	Hs.158665	66004	LYNX1	Ly6/neurotoxin 1		THC2464267	GO:0016020(membrane)|GO:0048503(GPI anchor binding)	"Homo sapiens Ly6/neurotoxin 1 (LYNX1), transcript variant 3, mRNA [NM_177457]"	chr8:143849801-143849742	hs|8q24.3
A_23_P111995	NM_002318	NM_002318	NM_002318	Hs.626637	4017	LOXL2	lysyl oxidase-like 2		THC2469358	GO:0004720(protein-lysine 6-oxidase activity)|GO:0005044(scavenger receptor activity)|GO:0005507(copper ion binding)|GO:0005615(extracellular space)|GO:0006464(protein modification)|GO:0007155(cell adhesion)|GO:0007568(aging)|GO:0009055(electron carrier activity)|GO:0016020(membrane)|GO:0046872(metal ion binding)	"Homo sapiens lysyl oxidase-like 2 (LOXL2), mRNA [NM_002318]"	chr8:23210790-23210731	hs|8p21.3
A_23_P112004	NM_012472	NM_012472	NM_012472	Hs.591865	23639	LRRC6	leucine rich repeat containing 6	ENST00000250173	THC2674032	GO:0003674(molecular_function)|GO:0005515(protein binding)|GO:0005575(cellular_component)|GO:0008150(biological_process)	"Homo sapiens leucine rich repeat containing 6 (LRRC6), mRNA [NM_012472]"	chr8:133653825-133653766	hs|8q24.22
A_23_P11201	NM_001033513	NM_001033513	NM_001033513	Hs.495989	2857	GPR34	G protein-coupled receptor 34	ENST00000378142	NP1464354	"GO:0001584(rhodopsin-like receptor activity)|GO:0004872(receptor activity)|GO:0005887(integral to plasma membrane)|GO:0007165(signal transduction)|GO:0007186(G-protein coupled receptor protein signaling pathway)|GO:0016020(membrane)|GO:0045028(purinergic nucleotide receptor activity, G-protein coupled)"	"Homo sapiens G protein-coupled receptor 34 (GPR34), transcript variant 2, mRNA [NM_001033513]"	chrX:41440881-41440940	hs|Xp11.4
A_23_P112016	NM_024767	NM_024767	NM_024767	Hs.134296	10395	DLC1	deleted in liver cancer 1	ENST00000382098	THC2485641	GO:0005096(GTPase activator activity)|GO:0005100(Rho GTPase activator activity)|GO:0005515(protein binding)|GO:0005576(extracellular region)|GO:0005622(intracellular)|GO:0005737(cytoplasm)|GO:0007010(cytoskeleton organization and biogenesis)|GO:0007165(signal transduction)|GO:0030155(regulation of cell adhesion)|GO:0030308(negative regulation of cell growth)	"Homo sapiens deleted in liver cancer 1 (DLC1), transcript variant 3, mRNA [NM_024767]"	chr8:13303469-13303410	hs|8p22
A_23_P112026	NM_002164	NM_002164	NM_002164	Hs.840	3620	INDO	"indoleamine-pyrrole 2,3 dioxygenase"	ENST00000253513	THC2489025	"GO:0004426(indoleamine-pyrrole 2,3-dioxygenase activity)|GO:0005506(iron ion binding)|GO:0006952(defense response)|GO:0006955(immune response)|GO:0007565(pregnancy)|GO:0009055(electron carrier activity)|GO:0019441(tryptophan catabolic process to kynurenine)|GO:0020037(heme binding)|GO:0046872(metal ion binding)"	"Homo sapiens indoleamine-pyrrole 2,3 dioxygenase (INDO), mRNA [NM_002164]"	chr8:39904686-39904745	hs|8p11.21
A_23_P112061	BC012452	XM_372038	BC012452	Hs.600384	138050	HGSNAT	heparan-alpha-glucosaminide N-acetyltransferase	ENST00000379644	THC2491749		"Homo sapiens heparan-alpha-glucosaminide N-acetyltransferase, mRNA (cDNA clone IMAGE:3880903), complete cds. [BC012452]"	chr8:43176054-43176113	hs|8p11.21
A_23_P112078	NM_004225	NM_004225	NM_004225	Hs.379414	9258	MFHAS1	malignant fibrous histiocytoma amplified sequence 1	ENST00000276282	THC2540498	GO:0005515(protein binding)|GO:0005525(GTP binding)|GO:0007264(small GTPase mediated signal transduction)	"Homo sapiens malignant fibrous histiocytoma amplified sequence 1 (MFHAS1), mRNA [NM_004225]"	chr8:8785345-8785286	hs|8p23.1
A_23_P112086	NM_021010	NM_021010	NM_021010	Hs.380781	1670	DEFA5	"defensin, alpha 5, Paneth cell-specific"	ENST00000330590	THC2465000	GO:0005576(extracellular region)|GO:0006805(xenobiotic metabolic process)|GO:0006952(defense response)|GO:0019735(antimicrobial humoral response (sensu the Vertebrata research community))|GO:0042742(defense response to bacterium)|GO:0050832(defense response to fungus)	"Homo sapiens defensin, alpha 5, Paneth cell-specific (DEFA5), mRNA [NM_021010]"	chr8:6901473-6900432	hs|8p23.1
A_23_P112100	AL161971		AL161971	Hs.584914	54212	SNTG1	"syntrophin, gamma 1"		THC2479441	GO:0003779(actin binding)|GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0005856(cytoskeleton)|GO:0007154(cell communication)|GO:0016013(syntrophin complex)	Homo sapiens mRNA; cDNA DKFZp761I2312 (from clone DKFZp761I2312). [AL161971]	chr8:51868113-51868172	hs|8q11.22
A_23_P112103	NM_024736	NM_024736	NM_024736	Hs.118983	79792	GSDMDC1	gasdermin domain containing 1	ENST00000262580	THC2534038		"Homo sapiens gasdermin domain containing 1 (GSDMDC1), mRNA [NM_024736]"	chr8:144715324-144715383	hs|8q24.3
A_23_P112113	NM_014846	NM_014846	NM_014846	Hs.270043	9897	KIAA0196	KIAA0196	ENST00000318410	THC2468366		"Homo sapiens KIAA0196 (KIAA0196), mRNA [NM_014846]"	chr8:126106049-126105990	hs|8q24.13
A_23_P112135	NM_014294	NM_014294	NM_014294	Hs.491988	23471	TRAM1	translocation associated membrane protein 1	ENST00000262213	THC2719697	GO:0004872(receptor activity)|GO:0005783(endoplasmic reticulum)|GO:0006605(protein targeting)|GO:0006613(cotranslational protein targeting to membrane)|GO:0015031(protein transport)|GO:0016020(membrane)|GO:0016021(integral to membrane)	"Homo sapiens translocation associated membrane protein 1 (TRAM1), mRNA [NM_014294]"	chr8:71648520-71648461	hs|8q13.3
A_23_P11214	NM_017544	NM_017544	NM_017544	Hs.437084	55922	NKRF	NF-kappaB repressing factor	ENST00000371527	THC2470389	"GO:0003677(DNA binding)|GO:0003725(double-stranded RNA binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0016481(negative regulation of transcription)|GO:0016566(specific transcriptional repressor activity)"	"Homo sapiens NF-kappaB repressing factor (NKRF), mRNA [NM_017544]"	chrX:118606654-118606595	hs|Xq24
A_23_P112159	NM_012154	NM_012154	NM_012154	Hs.449415	27161	EIF2C2	"eukaryotic translation initiation factor 2C, 2"	ENST00000220592	THC2463870	GO:0003743(translation initiation factor activity)|GO:0005515(protein binding)|GO:0005575(cellular_component)|GO:0006412(translation)	"Homo sapiens eukaryotic translation initiation factor 2C, 2 (EIF2C2), mRNA [NM_012154]"	chr8:141611188-141611129	hs|8q24.3
A_23_P112162	NM_012079	NM_012079	NM_012079	Hs.521954	8694	DGAT1	diacylglycerol O-acyltransferase homolog 1 (mouse)	ENST00000332324	NP1210550	GO:0003846(2-acylglycerol O-acyltransferase activity)|GO:0004144(diacylglycerol O-acyltransferase activity)|GO:0005624(membrane fraction)|GO:0005783(endoplasmic reticulum)|GO:0006641(triacylglycerol metabolic process)|GO:0007503(fat body development)|GO:0008415(acyltransferase activity)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016740(transferase activity)	"Homo sapiens diacylglycerol O-acyltransferase homolog 1 (mouse) (DGAT1), mRNA [NM_012079]"	chr8:145511102-145511043	hs|8q24.3
A_23_P112173	NM_020344	NM_020344	NM_020344	Hs.283014	25769	SLC24A2	"solute carrier family 24 (sodium/potassium/calcium exchanger), member 2"	ENST00000341998	THC2479883	GO:0005509(calcium ion binding)|GO:0006811(ion transport)|GO:0006813(potassium ion transport)|GO:0006814(sodium ion transport)|GO:0006816(calcium ion transport)|GO:0007601(visual perception)|GO:0015293(symporter activity)|GO:0015297(antiporter activity)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0030955(potassium ion binding)|GO:0031402(sodium ion binding)|GO:0050896(response to stimulus)	"Homo sapiens solute carrier family 24 (sodium/potassium/calcium exchanger), member 2 (SLC24A2), mRNA [NM_020344]"	chr9:19540140-19518083	hs|9p22.1
A_23_P112187	NM_032843	NM_032843	NM_032843	Hs.133205	84929	FIBCD1	fibrinogen C domain containing 1	ENST00000372338	THC2474476	GO:0005102(receptor binding)|GO:0007165(signal transduction)	"Homo sapiens fibrinogen C domain containing 1 (FIBCD1), mRNA [NM_032843]"	chr9:132768377-132768318	hs|9q34.12
A_23_P112201	NM_015061	NM_015061	NM_015061	Hs.157106	23081	JMJD2C	jumonji domain containing 2C	ENST00000381309	NP1153784	"GO:0003674(molecular_function)|GO:0003677(DNA binding)|GO:0005506(iron ion binding)|GO:0005515(protein binding)|GO:0005575(cellular_component)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008150(biological_process)|GO:0008270(zinc ion binding)|GO:0016491(oxidoreductase activity)|GO:0016568(chromatin modification)|GO:0016702(oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen)|GO:0046872(metal ion binding)"	"Homo sapiens jumonji domain containing 2C (JMJD2C), mRNA [NM_015061]"	chr9:7165334-7165393	hs|9p24.1
A_23_P112220	NM_002195	NM_002195	NM_002195	Hs.418506	3641	INSL4	insulin-like 4 (placenta)	ENST00000239316	THC2474465	GO:0005159(insulin-like growth factor receptor binding)|GO:0005179(hormone activity)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0005625(soluble fraction)|GO:0007165(signal transduction)|GO:0007267(cell-cell signaling)|GO:0007275(multicellular organismal development)|GO:0007565(pregnancy)|GO:0008283(cell proliferation)	"Homo sapiens insulin-like 4 (placenta) (INSL4), mRNA [NM_002195]"	chr9:5223695-5223754	hs|9p24.1
A_23_P11224	NM_173470	NM_173470	NM_173470	Hs.110702	93380	TMEM32	transmembrane protein 32	ENST00000305963	THC2603831	GO:0005783(endoplasmic reticulum)|GO:0016021(integral to membrane)	"Homo sapiens transmembrane protein 32 (TMEM32), mRNA [NM_173470]"	chrX:134872081-134872022	hs|Xq26.3
A_23_P112241	NM_012266	NM_012266	NM_012266	Hs.237506	25822	DNAJB5	"DnaJ (Hsp40) homolog, subfamily B, member 5"	ENST00000335998	THC2462300	GO:0006457(protein folding)|GO:0006986(response to unfolded protein)|GO:0031072(heat shock protein binding)|GO:0051082(unfolded protein binding)	"Homo sapiens DnaJ (Hsp40) homolog, subfamily B, member 5 (DNAJB5), mRNA [NM_012266]"	chr9:34988281-34988340	hs|9p13.3
A_23_P112251	NM_001017998	NM_001017998	NM_001017998	Hs.534196	2790	GNG10	"guanine nucleotide binding protein (G protein), gamma 10"	ENST00000374294	THC2467906	GO:0003924(GTPase activity)|GO:0004871(signal transducer activity)|GO:0005834(heterotrimeric G-protein complex)|GO:0006457(protein folding)|GO:0007165(signal transduction)|GO:0007186(G-protein coupled receptor protein signaling pathway)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0031072(heat shock protein binding)	"Homo sapiens guanine nucleotide binding protein (G protein), gamma 10 (GNG10), mRNA [NM_001017998]"	chr9:113472191-113472250	hs|9q31.3
A_23_P112260	NM_001017998	NM_001017998	NM_001017998	Hs.534196	2790	GNG10	"guanine nucleotide binding protein (G protein), gamma 10"	ENST00000374294	THC2638035	GO:0003924(GTPase activity)|GO:0004871(signal transducer activity)|GO:0005834(heterotrimeric G-protein complex)|GO:0006457(protein folding)|GO:0007165(signal transduction)|GO:0007186(G-protein coupled receptor protein signaling pathway)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0031072(heat shock protein binding)	"Homo sapiens guanine nucleotide binding protein (G protein), gamma 10 (GNG10), mRNA [NM_001017998]"	chr9:113469019-113471400	hs|9q31.3
A_23_P112275	NM_005458	NM_005458	NM_005458	Hs.198612	9568	GABBR2	"gamma-aminobutyric acid (GABA) B receptor, 2"	ENST00000259455	NP841437	GO:0004872(receptor activity)|GO:0004965(GABA-B receptor activity)|GO:0005887(integral to plasma membrane)|GO:0007165(signal transduction)|GO:0007186(G-protein coupled receptor protein signaling pathway)|GO:0007194(negative regulation of adenylate cyclase activity)|GO:0007268(synaptic transmission)|GO:0045211(postsynaptic membrane)	"Homo sapiens gamma-aminobutyric acid (GABA) B receptor, 2 (GABBR2), mRNA [NM_005458]"	chr9:100101366-100095986	hs|9q22.33
A_23_P112289	NM_003275	NM_003275	NM_003275	Hs.494595	7111	TMOD1	tropomodulin 1	ENST00000259365	THC2632497	GO:0003779(actin binding)|GO:0004601(peroxidase activity)|GO:0005523(tropomyosin binding)|GO:0005856(cytoskeleton)|GO:0007010(cytoskeleton organization and biogenesis)|GO:0007015(actin filament organization)|GO:0051016(barbed-end actin filament capping)	"Homo sapiens tropomodulin 1 (TMOD1), mRNA [NM_003275]"	chr9:99402642-99402701	hs|9q22.33
